Number,Species,SpMyco,Light,SoilSt,SoilCon,SoilSp,SoilMyco,SoilSpec,Adult,Bench,Time,Event,AMF,EMF,NSC,Lignin,Phenolics,AMF_Imp,EMF_Imp,NSC_Imp,LIG_Imp,PHN_Imp
1988,Prse,AMF,Med,Sterile,Sterile,Sterile,Sterile,ConSter,B,6,84,0,0,NA,NA,NA,NA,0,NA,11.10768596,8.321249657,0.062487007
124,Acsa,AMF,High,Nonsterile,Heterospecific,Prse,AMF,HetAMF,J,1,84,0,NA,NA,NA,NA,NA,72.325,NA,12.53271136,14.03332526,0.24456619
125,Qual,EMF,High,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,1323,1,84,0,46,NA,NA,NA,NA,46,29.96206089,22.56214541,19.6337503,5.183112571
126,Qual,EMF,High,Nonsterile,Heterospecific,Quru,EMF,HetEMF,970,1,21,0,51,32,NA,21.7,5.18,51,32.48119686,19.71247029,21.72268923,5.178869881
127,Qual,EMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,1205,1,84,0,NA,NA,NA,NA,NA,0.45,9.129045919,22.75055114,18.91989856,4.257922808
128,Qual,EMF,High,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,1330,1,84,0,39,NA,NA,NA,NA,39,35.08696232,21.85356304,19.10108926,5.125138671
129,Acru,AMF,High,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1478,1,21,0,NA,NA,12.83,NA,NA,35.33,NA,12.82911284,10.11970861,0.43489703
130,Acsa,AMF,High,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1386,1,21,0,NA,NA,12.49,NA,NA,70.645,NA,12.49291506,13.58821207,0.150466011
131,Prse,AMF,High,Nonsterile,Heterospecific,Quru,EMF,HetEMF,921,1,21,0,NA,NA,NA,NA,NA,63.86,NA,12.87814484,10.42337922,0.863909594
1989,Prse,AMF,Med,Sterile,Sterile,Sterile,Sterile,ConSter,689,6,84,0,0,NA,NA,NA,NA,0,NA,11.11696243,8.343576176,0.062487007
133,Acru,AMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,285,1,21,0,34,NA,NA,9.3,-0.24,34,NA,11.37395309,9.336622222,-0.241129232
134,Acsa,AMF,High,Nonsterile,Heterospecific,Prse,AMF,HetAMF,A,1,21,0,NA,NA,12.48,NA,NA,69.06777778,NA,12.47876971,13.77759326,0.037910284
135,Qual,EMF,High,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1384,1,84,0,42,NA,NA,NA,NA,42,36.42578469,22.31348207,18.67831433,5.127065477
136,Acsa,AMF,High,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1715,1,84,0,NA,NA,NA,NA,NA,70.57,NA,12.69819236,13.42760781,0.352927155
137,Quru,EMF,High,Nonsterile,Conspecific,Quru,EMF,Con,984,1,21,0,47,23,NA,17.5,4.56,47,22.70755215,21.21230871,17.45561405,4.556996921
138,Qual,EMF,High,Nonsterile,Conspecific,Qual,EMF,Con,1478,1,21,0,NA,NA,20.05,NA,NA,46.54,37.11955641,20.0460196,21.33061991,5.403797439
1990,Prse,AMF,Med,Sterile,Sterile,Sterile,Sterile,ConSter,A,6,84,0,0,NA,NA,NA,NA,0,NA,11.11696243,8.343576176,0.062487007
140,Qual,EMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,415,1,84,0,NA,NA,NA,NA,NA,0.46,9.129045919,22.57580449,18.79258547,4.263451077
141,Acru,AMF,High,Nonsterile,Heterospecific,Prse,AMF,HetAMF,J,1,84,0,NA,NA,NA,NA,NA,32.36,NA,12.03016529,9.154128878,0.160916931
142,Prse,AMF,High,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1478,1,21,0,NA,NA,13.93,NA,NA,58.06,NA,13.92932318,11.47433493,1.247517123
143,Prse,AMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,277,1,21,0,68,NA,NA,11.9,1.03,68,NA,13.64977253,11.87232501,1.027152856
144,Acsa,AMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,118,1,84,0,NA,NA,NA,NA,NA,66.75,NA,12.36862753,13.71514977,-0.005946507
145,Qual,EMF,High,Nonsterile,Heterospecific,Quru,EMF,HetEMF,984,1,21,0,45,49,NA,21.2,5.34,45,49.26990511,20.10100594,21.21937691,5.340168625
146,Quru,EMF,High,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1468,1,84,0,NA,NA,NA,NA,NA,42.86,36.03140017,17.0198638,22.37606103,3.767507185
147,Qual,EMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,277,1,21,0,42,37,NA,16.8,5.22,42,36.62460877,22.40995051,16.82526417,5.219269536
148,Quru,EMF,High,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1297,1,84,0,53,NA,NA,NA,NA,53,30.92969274,17.74973835,22.28281469,4.162542571
149,Qual,EMF,High,Nonsterile,Heterospecific,Prse,AMF,HetAMF,1027,1,21,0,30,60,NA,19.9,5.1,30,60.01186232,21.70652789,19.8990636,5.096409823
150,Quru,EMF,High,Nonsterile,Heterospecific,Prse,AMF,HetAMF,A,1,84,0,39,NA,NA,NA,NA,39,41.0981105,16.51483756,23.65084357,3.83283305
151,Quru,EMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,970,1,21,0,0,5,NA,20.9,3.81,0,5.00497052,18.30133149,20.86947454,3.810394053
2322,Prse,AMF,Low,Sterile,Sterile,Sterile,Sterile,ConSter,A,7,84,0,0,NA,NA,NA,NA,0,NA,9.629978743,6.522917493,0.164498988
2523,Prse,AMF,Low,Sterile,Sterile,Sterile,Sterile,ConSter,1018,8,84,0,0,NA,NA,NA,NA,0,NA,8.337832151,5.675192372,0.281268945
154,Prse,AMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,1018,1,21,0,1,NA,NA,8.8,-0.21,1,NA,10.93747678,8.793968808,-0.209347033
155,Acsa,AMF,High,Nonsterile,Heterospecific,Quru,EMF,HetEMF,984,1,21,0,67,NA,NA,15.1,-0.43,67,NA,12.27092021,15.11976644,-0.42655025
156,Prse,AMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,394,1,25,1,NA,NA,NA,NA,NA,68.04,NA,12.83453045,10.68291873,0.875111867
157,Quru,EMF,High,Nonsterile,Conspecific,Quru,EMF,Con,970,1,84,0,NA,NA,NA,NA,NA,47.64,29.43255913,16.43571879,23.89698285,3.752150779
158,Acru,AMF,High,Nonsterile,Conspecific,Acru,AMF,Con,1332,1,21,0,44,NA,NA,7.4,0.27,44,NA,10.3400022,7.417247925,0.26776555
159,Acsa,AMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,394,1,21,0,NA,NA,12.44,NA,NA,67.07,NA,12.44414184,13.76670474,-0.008111716
160,Acru,AMF,High,Nonsterile,Heterospecific,Prse,AMF,HetAMF,A,1,84,0,28,NA,NA,NA,NA,28,NA,11.94476685,9.17256734,0.153146233
161,Qual,EMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,118,1,21,0,NA,NA,19.12,NA,NA,40.4825,37.98649583,19.11603451,21.34461146,4.909609433
162,Quru,EMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,394,1,84,0,48,NA,NA,NA,NA,48,27.15757384,17.65030924,22.16595497,3.889321981
163,Acsa,AMF,High,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1384,1,84,0,81,NA,NA,NA,NA,81,NA,12.54270352,13.75624523,0.304572427
