Number,Species,SpMyco,Light,SoilSt,SoilCon,SoilSp,SoilMyco,SoilSpec,Adult,Bench,Time,Event,AMF,EMF,NSC,Lignin,Phenolics,AMF_Imp,EMF_Imp,NSC_Imp,LIG_Imp,PHN_Imp
1416,Prse,AMF,Med,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1205,5,84,0,68,NA,NA,NA,NA,22,NA,12.14417372,9.499011012,0.404477518
539,Qual,EMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,891,2,21,0,46,18,NA,21,5.32,46,17.82737266,20.63128846,20.99915297,5.323192514
540,Prse,AMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,689,2,21,0,0,NA,NA,8.8,-0.08,0,NA,11.20031424,8.803139084,-0.08443803
541,Acsa,AMF,High,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1320,2,21,0,NA,NA,12.16,NA,NA,68.92,NA,12.15543372,13.47813747,-0.378397174
542,Acsa,AMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,1323,2,21,0,0,NA,NA,14.7,0.13,0,NA,12.6350728,14.74112488,0.134626712
543,Acsa,AMF,High,Nonsterile,Heterospecific,Prse,AMF,HetAMF,1018,2,21,0,71,NA,NA,14,-0.57,71,NA,12.10456182,14.00499656,-0.56961968
1747,Prse,AMF,Med,Nonsterile,Conspecific,Prse,AMF,Con,689,5,84,0,48,NA,NA,NA,NA,48,NA,11.91762867,9.443453361,0.382654435
545,Quru,EMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,1595,2,21,0,0,8,NA,21.3,3.72,0,8.087555553,18.31984509,21.30208507,3.71601619
546,Acsa,AMF,High,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1478,2,84,0,NA,NA,NA,NA,NA,68.96,NA,12.20496952,13.49307762,-0.400166737
547,Acsa,AMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,561,2,84,0,0,NA,NA,NA,NA,0,NA,13.03987281,13.80671418,0.53436697
548,Acru,AMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,50,2,84,0,0,NA,NA,NA,NA,0,NA,12.63802358,10.21355007,0.209786013
549,Prse,AMF,High,Nonsterile,Heterospecific,Quru,EMF,HetEMF,1454,2,21,0,44,NA,NA,11,1.24,44,NA,13.65675902,11.0319359,1.239034482
550,Qual,EMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,1320,2,84,0,NA,NA,NA,NA,NA,0.86,11.76919993,22.58597854,18.92777327,4.304748935
551,Acru,AMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,394,2,84,0,NA,NA,NA,NA,NA,26.61,NA,11.52400913,8.718234253,0.120399547
552,Qual,EMF,High,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1326,2,21,0,20,23,NA,17,5.37,20,22.86399767,23.06485047,16.99036086,5.367265691
553,Quru,EMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,1688,2,21,0,0,4,NA,23.9,3.8,0,4.189875924,16.2924293,23.93146255,3.803076807
554,Acru,AMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,1468,2,84,0,0,NA,NA,NA,NA,0,NA,12.61023698,10.11502823,0.21250861
555,Qual,EMF,High,Nonsterile,Heterospecific,Quru,EMF,HetEMF,1595,2,21,0,49,42,NA,22.1,5.37,49,41.91617783,19.39780734,22.1408924,5.374011267
556,Quru,EMF,High,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,561,2,21,0,51,47,NA,28,3.3,51,46.54705165,14.61848185,27.98280805,3.304496377
2329,Prse,AMF,Low,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,1323,7,84,0,58,NA,NA,NA,NA,0,NA,8.18093905,5.595702051,0.314089788
2488,Prse,AMF,Low,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1715,8,84,0,58,NA,NA,NA,NA,0,NA,8.151022673,5.567916048,0.314967953
559,Acsa,AMF,High,Nonsterile,Heterospecific,Prse,AMF,HetAMF,1027,2,84,0,NA,NA,NA,NA,NA,70.645,NA,12.37624308,13.93418678,0.0436334
560,Qual,EMF,High,Nonsterile,Heterospecific,Prse,AMF,HetAMF,1018,2,21,0,43,40,NA,19.2,4.96,43,39.52496333,22.44052601,19.21319004,4.957056128
561,Acru,AMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,118,2,84,0,20,NA,NA,NA,NA,20,NA,11.52649001,8.710578981,0.121914423
562,Acsa,AMF,High,Nonsterile,Conspecific,Acsa,AMF,Con,1323,2,21,0,NA,NA,12.52,NA,NA,72.18861111,NA,12.51852814,13.61490874,0.273222439
563,Qual,EMF,High,Nonsterile,Heterospecific,Prse,AMF,HetAMF,1018,2,84,0,45,NA,NA,NA,NA,45,26.88998698,24.58166263,19.37431508,5.398992618
1696,Prse,AMF,Med,Nonsterile,Heterospecific,Quru,EMF,HetEMF,970,5,84,0,59,NA,NA,NA,NA,0,NA,12.14697288,9.913784905,0.246170053
565,Qual,EMF,High,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,561,2,21,0,35,35,NA,19.4,6.25,35,35.12028774,21.2222284,19.41834789,6.247860105
566,Quru,EMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,285,2,21,0,NA,NA,12.56,NA,NA,44.41,31.4839098,12.55600847,23.98766221,2.828678001
567,Qual,EMF,High,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1326,2,53,1,NA,NA,NA,NA,NA,42.73173077,25.10118931,23.17512225,19.10384659,5.394994867
568,Quru,EMF,High,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1326,2,21,0,45,2,NA,26.1,3.29,45,-2.449602254,14.27995899,26.1320453,3.290568804
569,Quru,EMF,High,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,961,2,21,0,NA,NA,15.1,NA,NA,47.01,28.08610387,15.10439877,24.69638815,3.399684722
570,Qual,EMF,High,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1384,2,84,0,NA,NA,NA,NA,NA,42.75173077,25.10118931,23.17512225,19.10384659,5.394994867
571,Prse,AMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,A,2,21,0,0,NA,NA,8.2,0,0,NA,10.94919341,8.241266519,-2.65E-06
572,Qual,EMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,277,2,84,0,45,NA,NA,NA,NA,45,36.43029744,20.06205325,21.06041638,5.74434434
3042,Prse,AMF,Low,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,1330,9,84,0,59,NA,NA,NA,NA,0,NA,7.672901448,5.388768533,0.259163836
574,Prse,AMF,High,Nonsterile,Conspecific,Prse,AMF,Con,1018,2,49,1,NA,NA,NA,NA,NA,73.675,NA,12.05718402,9.769744074,0.705141842
575,Quru,EMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,1688,2,84,0,0,NA,NA,NA,NA,0,7.015751733,17.82959098,21.9325551,3.682935274
576,Prse,AMF,High,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1332,2,21,0,NA,NA,10.09,NA,NA,69.33,NA,10.092772,7.489236175,0.774060674
577,Quru,EMF,High,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,1757,2,84,0,42,NA,NA,NA,NA,42,37.19601338,15.84361228,24.66917558,3.827941977
578,Qual,EMF,High,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,961,2,21,0,NA,NA,20.51,NA,NA,39.34,34.11575848,20.50824429,20.50284533,5.598386041
579,Acru,AMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,1332,2,84,0,0,NA,NA,NA,NA,0,NA,12.71162739,10.25169701,0.284627667
580,Acsa,AMF,High,Nonsterile,Heterospecific,Quru,EMF,HetEMF,1595,2,21,0,74,NA,NA,13.8,-0.22,74,NA,12.30079739,13.77211363,-0.217051545
2561,Prse,AMF,Low,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1205,8,84,0,59,NA,NA,NA,NA,2,NA,9.317935929,6.377438758,0.31547526
582,Quru,EMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,1454,2,84,0,NA,NA,NA,NA,NA,6.39E-16,7.193958537,17.78419419,21.98619691,3.686722428
583,Acru,AMF,High,Nonsterile,Conspecific,Acru,AMF,Con,1386,2,25,1,NA,NA,NA,NA,NA,43.245,NA,11.71228115,9.100636726,0.292716992
584,Acru,AMF,High,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1297,2,21,0,NA,NA,12.42,NA,NA,32.92,NA,12.4193925,9.795747148,0.199732506
585,Quru,EMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,891,2,84,0,NA,NA,NA,NA,NA,44.7,39.53799148,13.48230484,23.17210805,3.004843254
586,Qual,EMF,High,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1332,2,21,0,NA,NA,20.73,NA,NA,38.51923077,31.35983409,20.73351199,19.02899146,5.375741049
587,Quru,EMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,984,2,84,0,NA,NA,NA,NA,NA,7.82E-16,7.817844004,17.44749448,22.27539864,3.704219507
588,Quru,EMF,High,Nonsterile,Conspecific,Quru,EMF,Con,921,2,84,0,56,NA,NA,NA,NA,56,32.2754202,17.9643979,23.22854675,4.539629252
589,Acsa,AMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,891,2,84,0,NA,NA,NA,NA,NA,68.11777778,NA,12.17787157,13.95755648,-0.242037168
590,Quru,EMF,High,Nonsterile,Heterospecific,Qual,EMF,HetEMF,415,2,21,0,42,62,NA,23.7,4.06,42,61.67539254,16.77221533,23.72667913,4.055711288
591,Qual,EMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,1205,2,84,0,0,NA,NA,NA,NA,0,11.3013364,21.67791377,18.80638388,4.329455414
592,Acsa,AMF,High,Nonsterile,Heterospecific,Quru,EMF,HetEMF,1688,2,21,0,70,NA,NA,12.9,0.32,70,NA,12.59916001,12.88190252,0.31703731
593,Acsa,AMF,High,Nonsterile,Heterospecific,Prse,AMF,HetAMF,B,2,21,0,72,NA,NA,13.8,0.13,72,NA,12.43076092,13.8083763,0.125062534
594,Qual,EMF,High,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1384,2,21,0,38,18,NA,20.8,5.74,38,18.19369308,20.45441549,20.78550857,5.737362947
595,Acsa,AMF,High,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1478,2,21,0,68,NA,NA,12.4,-0.36,68,NA,11.87522805,12.40559785,-0.364435343
596,Acru,AMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,1201,2,84,0,29,NA,NA,NA,NA,29,NA,11.58371461,8.821035446,0.10346443
2979,Prse,AMF,Low,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1478,9,84,0,69,NA,NA,NA,NA,2,NA,8.051340169,5.567510426,0.289982505
598,Quru,EMF,High,Nonsterile,Heterospecific,Acru,AMF,HetAMF,50,2,21,0,49,32,NA,23.6,4.01,49,32.07232861,16.98956256,23.58416131,4.01302954
599,Acsa,AMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,118,2,21,0,65,NA,NA,14.2,-0.53,65,NA,12.1787646,14.15935324,-0.534087504
600,Acru,AMF,High,Nonsterile,Heterospecific,Prse,AMF,HetAMF,689,2,84,0,44,NA,NA,NA,NA,44,NA,12.06352172,9.238835471,0.154463468
601,Qual,EMF,High,Nonsterile,Heterospecific,Quru,EMF,HetEMF,1688,2,84,0,45,NA,NA,NA,NA,45,27.59652056,23.78245516,19.33582138,5.362235199
602,Acru,AMF,High,Nonsterile,Conspecific,Acru,AMF,Con,1384,2,21,0,46,NA,NA,9.6,0.34,46,NA,11.95110399,9.594828849,0.338631399
603,Quru,EMF,High,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1384,2,21,0,45,2,NA,18.9,3.98,45,2.328650069,19.56519573,18.88586551,3.982145335
604,Quru,EMF,High,Nonsterile,Conspecific,Quru,EMF,Con,970,2,84,0,50,NA,NA,NA,NA,50,33.83606177,17.35518177,23.5532608,4.145175845
605,Quru,EMF,High,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1386,2,21,0,41,20,NA,24,3.07,41,20.42086586,12.66818401,23.95583132,3.065561591
606,Acru,AMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,1468,2,84,0,NA,NA,NA,NA,NA,0.02,NA,12.57584895,10.17917241,0.240543018
607,Qual,EMF,High,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1468,2,84,0,44,NA,NA,NA,NA,44,24.64927067,23.23929541,19.25818356,5.510840296
608,Qual,EMF,High,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,1330,2,21,0,NA,NA,22.78,NA,NA,41.61,29.67273875,22.77922764,19.27169989,5.537049337
609,Acru,AMF,High,Nonsterile,Heterospecific,Quru,EMF,HetEMF,1688,2,84,0,37,NA,NA,NA,NA,37,NA,12.21189172,9.896036438,0.105372495
610,Quru,EMF,High,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1326,2,84,0,53,NA,NA,NA,NA,53,26.93310392,15.81945324,25.43381,3.531021451
611,Acru,AMF,High,Nonsterile,Heterospecific,Qual,EMF,HetEMF,415,2,21,0,37,NA,NA,6.9,-0.15,37,NA,9.930534442,6.89172584,-0.148422808
612,Qual,EMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,1201,2,21,0,45,32,NA,21.9,6.54,45,31.87450782,19.58384911,21.94757202,6.539487427
2555,Prse,AMF,Low,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,118,8,84,0,50,NA,NA,NA,NA,0,NA,8.178232594,5.6311829,0.258693372
614,Prse,AMF,High,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1205,2,21,0,NA,NA,9.44,NA,NA,69.31,NA,9.43917227,7.027050081,0.728212638
615,Acsa,AMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,1330,2,21,0,0,NA,NA,14,0.4,0,NA,12.91756905,13.97561254,0.400064501
616,Acru,AMF,High,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1715,2,42,1,NA,NA,NA,NA,NA,30.81,NA,11.50907303,8.612290813,0.21936644
617,Acsa,AMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,1201,2,84,0,71,NA,NA,NA,NA,71,NA,12.26080217,14.03365478,-0.04913712
618,Prse,AMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,891,2,21,0,62,NA,NA,8.6,0.85,62,NA,11.43134254,8.572004348,0.849195992
619,Qual,EMF,High,Nonsterile,Heterospecific,Prse,AMF,HetAMF,J,2,84,0,39,NA,NA,NA,NA,39,27.71571361,23.40504169,19.29462094,5.402796644
620,Qual,EMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,1715,2,21,0,0,10,NA,20.4,4.45,0,10.41565189,20.08923361,20.43858247,4.447079857
621,Acsa,AMF,High,Nonsterile,Conspecific,Acsa,AMF,Con,961,2,84,0,80,NA,NA,NA,NA,80,NA,12.65602043,13.86356859,0.340430185
622,Acsa,AMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,961,2,84,0,NA,NA,NA,NA,NA,0.77,NA,12.73073729,13.57883184,0.334199545
623,Acru,AMF,High,Nonsterile,Heterospecific,Quru,EMF,HetEMF,984,2,21,0,NA,NA,13.1,NA,NA,39.506,NA,13.09884276,10.59082455,0.595102542
624,Acsa,AMF,High,Nonsterile,Conspecific,Acsa,AMF,Con,961,2,21,0,NA,NA,12.69,NA,NA,75.74611111,NA,12.69284135,13.80116126,0.373944638
625,Prse,AMF,High,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,961,2,21,0,NA,NA,13.6,NA,NA,65.7425,NA,13.60466466,11.54445125,1.258117527
626,Acru,AMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,277,2,21,0,NA,NA,13.14,NA,NA,37.8185,NA,13.13586131,10.25416781,0.626329097
627,Prse,AMF,High,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,1330,2,21,0,NA,NA,12.04,NA,NA,71.62,NA,12.0411609,9.145772378,0.894342391
628,Acsa,AMF,High,Nonsterile,Heterospecific,Prse,AMF,HetAMF,1018,2,84,0,66,NA,NA,NA,NA,66,NA,12.2643362,13.88901278,0.029033595
629,Qual,EMF,High,Nonsterile,Conspecific,Qual,EMF,Con,1205,2,21,0,NA,NA,22.63,NA,NA,48.604,29.16165417,22.62875744,20.00187865,5.382366689
630,Prse,AMF,High,Nonsterile,Heterospecific,Quru,EMF,HetEMF,1688,2,21,0,66,NA,NA,11,1.45,66,NA,13.493459,10.97212125,1.45320744
631,Qual,EMF,High,Nonsterile,Heterospecific,Prse,AMF,HetAMF,A,2,84,0,NA,NA,NA,NA,NA,42.3,25.75870622,24.85246922,19.03578958,5.332765499
632,Acsa,AMF,High,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1384,2,21,0,82,NA,NA,14.6,-0.04,82,NA,12.40140907,14.57520166,-0.0357561
633,Acsa,AMF,High,Nonsterile,Conspecific,Acsa,AMF,Con,1323,2,84,0,NA,NA,NA,NA,NA,76.86611111,NA,12.70541979,13.95547456,0.358319912
634,Acsa,AMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,275,2,21,0,0,NA,NA,12.3,0.1,0,NA,12.28195946,12.3493611,0.099346837
635,Prse,AMF,High,Nonsterile,Conspecific,Prse,AMF,Con,689,2,21,0,73,NA,NA,10.8,0.83,73,NA,12.65510553,10.82395155,0.828178597
636,Quru,EMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,891,2,21,0,42,37,NA,23.5,3.21,42,37.47567416,14.39429322,23.54337123,3.21175704
637,Acru,AMF,High,Nonsterile,Heterospecific,Prse,AMF,HetAMF,A,2,84,0,NA,NA,NA,NA,NA,35.13,NA,12.02182525,9.354686012,0.13540906
2725,Prse,AMF,Low,Nonsterile,Heterospecific,Quru,EMF,HetEMF,1688,8,84,0,50,NA,NA,NA,NA,0,NA,7.745973223,5.399061999,0.319042957
639,Prse,AMF,High,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1386,2,21,0,72,NA,NA,10.9,1.11,72,NA,13.38483403,10.89392028,1.111954971
640,Acsa,AMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,891,2,21,0,72,NA,NA,14.1,-0.42,72,NA,12.23656789,14.08085322,-0.418573935
641,Quru,EMF,High,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1297,2,21,0,NA,NA,18.54,NA,NA,51.11333333,31.39575503,18.53743584,22.64146286,4.517679884
642,Acru,AMF,High,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,961,2,28,1,NA,NA,NA,NA,NA,27.08,NA,11.56575411,8.452257859,0.175636357
643,Acru,AMF,High,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,1757,2,84,0,23,NA,NA,NA,NA,23,NA,11.5251386,8.460756754,0.17595244
644,Quru,EMF,High,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1205,2,21,0,NA,NA,23.06,NA,NA,49.51,26.11220628,23.06145238,20.69624665,4.782076139
645,Acsa,AMF,High,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1468,2,84,0,69,NA,NA,NA,NA,69,NA,12.28790773,13.92590572,-0.026356997
646,Acru,AMF,High,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1320,2,21,0,NA,NA,11.25,NA,NA,30.28,NA,11.2504233,8.672353985,-0.076759717
172,Prse,AMF,High,Nonsterile,Heterospecific,Quru,EMF,HetEMF,1688,1,84,0,52,NA,NA,NA,NA,52,NA,12.74646623,10.28000976,0.788054027
648,Acru,AMF,High,Nonsterile,Heterospecific,Quru,EMF,HetEMF,1595,2,21,0,22,NA,NA,7.5,-0.05,22,NA,10.20144315,7.473578553,-0.052807726
649,Quru,EMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,277,2,21,0,NA,NA,13.67,NA,NA,44.66,41.21516782,13.66718733,23.36399491,3.032278855
650,Acru,AMF,High,Nonsterile,Heterospecific,Prse,AMF,HetAMF,J,2,84,0,28,NA,NA,NA,NA,28,NA,12.31083006,9.923228664,0.223607661
651,Acsa,AMF,High,Nonsterile,Heterospecific,Quru,EMF,HetEMF,921,2,21,0,68,NA,NA,13.1,-0.12,68,NA,12.26880181,13.12026407,-0.115803271
652,Qual,EMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,1201,2,84,0,49,NA,NA,NA,NA,49,24.25253233,23.17145107,19.38607644,5.505586277
653,Acru,AMF,High,Nonsterile,Conspecific,Acru,AMF,Con,1332,2,84,0,NA,NA,NA,NA,NA,44.17,NA,11.81607397,9.318831279,0.245974334
654,Prse,AMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,285,2,21,0,NA,NA,14.1,NA,NA,59.47,NA,14.09738414,11.4680752,1.263919706
655,Acsa,AMF,High,Nonsterile,Heterospecific,Quru,EMF,HetEMF,921,2,84,0,68,NA,NA,NA,NA,68,NA,12.39665318,13.74965853,0.115393825
656,Quru,EMF,High,Nonsterile,Conspecific,Quru,EMF,Con,1688,2,84,0,49,NA,NA,NA,NA,49,32.10977394,16.58109207,24.18489952,3.90204908
657,Acsa,AMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,118,2,84,0,68,NA,NA,NA,NA,68,NA,12.39067124,13.93184368,-0.003183426
658,Acru,AMF,High,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,561,2,32,1,NA,NA,NA,NA,NA,28.3,NA,11.59774582,8.493211825,0.180776124
659,Acsa,AMF,High,Nonsterile,Heterospecific,Prse,AMF,HetAMF,A,2,84,0,NA,NA,NA,NA,NA,69.07833333,NA,12.39156135,13.88067,0.077416813
660,Acsa,AMF,High,Nonsterile,Heterospecific,Prse,AMF,HetAMF,689,2,84,0,69,NA,NA,NA,NA,69,NA,12.31215978,13.93149881,0.021115444
661,Prse,AMF,High,Nonsterile,Heterospecific,Acru,AMF,HetAMF,50,2,21,0,71,NA,NA,8.5,1.02,71,NA,11.93356539,8.459830614,1.015735235
662,Prse,AMF,High,Nonsterile,Heterospecific,Quru,EMF,HetEMF,984,2,21,0,NA,NA,12.63,NA,NA,66.95,NA,12.63293448,10.27404674,0.813032359
663,Prse,AMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,1018,2,21,0,NA,NA,12.79,NA,NA,0.1,NA,12.79056302,10.45977728,0.222343519
664,Acru,AMF,High,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1320,2,84,0,NA,NA,NA,NA,NA,31.01,NA,11.76477216,8.832233048,0.231156239
665,Qual,EMF,High,Nonsterile,Heterospecific,Prse,AMF,HetAMF,1027,2,84,0,NA,NA,NA,NA,NA,42.51,26.97987316,24.74540417,19.10484197,5.323667388
666,Acru,AMF,High,Nonsterile,Heterospecific,Prse,AMF,HetAMF,1027,2,84,0,NA,NA,NA,NA,NA,34.18333333,NA,12.0725967,9.312680531,0.155884418
667,Acsa,AMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,277,2,21,0,NA,NA,12.38,NA,NA,67.70666667,NA,12.37626376,13.96960134,-0.013030014
668,Acsa,AMF,High,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1332,2,21,0,NA,NA,12.53,NA,NA,70.835,NA,12.5267848,13.95345641,0.064027165
669,Qual,EMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,1715,2,84,0,0,NA,NA,NA,NA,0,11.00160247,21.58644718,18.91166035,4.320827884
240,Prse,AMF,High,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1332,1,84,0,52,NA,NA,NA,NA,52,NA,11.92224695,9.444347393,0.807963959
2837,Prse,AMF,Low,Nonsterile,Heterospecific,Quru,EMF,HetEMF,1454,9,84,0,52,NA,NA,NA,NA,0,NA,7.747880405,5.394536675,0.341667585
672,Acsa,AMF,High,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1320,2,84,0,NA,NA,NA,NA,NA,71.4,NA,12.61880128,13.53284526,0.295099957
673,Acru,AMF,High,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,561,2,21,0,28,NA,NA,8.3,-0.54,28,NA,10.46257396,8.278885811,-0.538772696
674,Prse,AMF,High,Nonsterile,Heterospecific,Quru,EMF,HetEMF,1595,2,21,0,67,NA,NA,7.4,0.46,67,NA,10.45840728,7.396653353,0.459478882
675,Acsa,AMF,High,Nonsterile,Conspecific,Acsa,AMF,Con,1757,2,46,1,NA,NA,NA,NA,NA,75.32111111,NA,12.74249534,13.93131324,0.372655342
676,Qual,EMF,High,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1332,2,84,0,NA,NA,NA,NA,NA,43.90173077,25.13746428,23.31832148,19.31566663,5.371827033
677,Prse,AMF,High,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,561,2,21,0,71,NA,NA,10.8,1.06,71,NA,13.30638305,10.81146737,1.05638566
678,Acsa,AMF,High,Nonsterile,Heterospecific,Acru,AMF,HetAMF,50,2,21,0,67,NA,NA,15,0.32,67,NA,12.64062522,14.96898786,0.319702165
679,Quru,EMF,High,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1478,2,21,0,52,20,NA,18.8,4.04,52,20.29515435,20.34318386,18.8488447,4.038070419
680,Acru,AMF,High,Nonsterile,Conspecific,Acru,AMF,Con,1386,2,21,0,46,NA,NA,7.7,0.31,46,NA,10.44467635,7.692196742,0.310932329
681,Acru,AMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,1332,2,21,0,NA,NA,12.36,NA,NA,9.95E-16,NA,12.3552841,10.02395976,0.17969096
682,Acsa,AMF,High,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1205,2,21,0,NA,NA,12.92,NA,NA,69.415,NA,12.92073326,13.53470529,0.478420514
2145,Prse,AMF,Low,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1320,7,84,0,53,NA,NA,NA,NA,0,NA,7.640548553,5.514401052,0.331769904
684,Quru,EMF,High,Nonsterile,Conspecific,Quru,EMF,Con,1595,2,21,0,52,26,NA,27,3.95,52,25.70328563,16.62936064,27.00974301,3.948860359
685,Acru,AMF,High,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,961,2,21,0,NA,NA,12.51,NA,NA,34.125,NA,12.50922646,10.10626498,0.224477603
686,Prse,AMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,277,2,21,0,NA,NA,13.39,NA,NA,64.72,NA,13.38653367,10.8867831,1.02557009
687,Acsa,AMF,High,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1332,2,84,0,NA,NA,NA,NA,NA,71.34,NA,12.49465426,13.95592707,0.209389172
688,Acru,AMF,High,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1478,2,21,0,27,NA,NA,6.1,0.38,27,NA,9.24446842,6.099759177,0.381774731
689,Acsa,AMF,High,Nonsterile,Conspecific,Acsa,AMF,Con,1330,2,21,0,NA,NA,12.78,NA,NA,75.28111111,NA,12.77697686,13.95024421,0.363500199
690,Prse,AMF,High,Nonsterile,Conspecific,Prse,AMF,Con,B,2,21,0,85,NA,NA,9.7,0.56,85,NA,12.02667005,9.66318323,0.563838756
691,Qual,EMF,High,Nonsterile,Conspecific,Qual,EMF,Con,415,2,21,0,46,27,NA,25.2,5.53,46,26.5844715,19.22402343,25.15897373,5.531073786
692,Quru,EMF,High,Nonsterile,Heterospecific,Prse,AMF,HetAMF,J,2,84,0,57,NA,NA,NA,NA,57,29.99935973,16.72675292,23.67712622,3.897263116
693,Acsa,AMF,High,Nonsterile,Heterospecific,Quru,EMF,HetEMF,1688,2,84,0,67,NA,NA,NA,NA,67,NA,12.40782998,13.82866963,0.12239213
